Timestamp	都道府県	災害救助法 適用	市町村名	電話対応を行った災害	その災害の名称はなんですか？（例：平成30年7月豪雨）	災害対策本部の運営業務全体のうち、電話への対応は全体の業務量のうち何％でしたか？	電話対応で最も長かった電話の時間は何分程度でしたか？	その内容はどのようなものでしたか？	電話対応の平均的な時間は何分程度でしたか？	電話回数は平常時と比較してどうですか？	安否確認	被害状況確認	被害状況報告	救助要請	避難所についての問い合わせ	ボランティアについての問い合わせ	支援物資についての問い合わせ	マスコミの問い合わせ	その他（複数記入可、各項目に０〜４の基準も付けてください）（例：〜の問い合わせ（２）、〜の問い合わせ（４））	電話に回答する際、その情報源はなんでしたか。（複数選択可）	有効だった情報源があれば教えてください。	電話に効率良く対応できたと思いますか？	電話対応の際、どのような問題に遭遇しましたか？（複数選択可）	電話対応が原因で業務への負荷を感じましたか。	電話で受ける情報をどう管理しましたか。	デジタル式を選択した場合、どのようなシステムやアプリケーションを使いましたか。	情報を総合的にどう管理し、共有しましたか。	デジタル式を選択した場合、どのようなシステムやアプリケーションを使いましたか。	情報管理する際に直面した問題はなんですか。（複数選択可）	自動音声認識は自治体で役に立つと思いますか？	自動音声認識システムを導入したいと思いますか？	「はい」以外を選択した場合、その理由はなんですか。	自動音声認識システムに欲しい機能はなんですか。	他に付け加えたい情報がございましたら、ご自由にお書きください。
5/20/2019 2:04:09	岩手県	N	奥州市	豪雨	大雨、洪水警報等発表による災害	１１〜２０％	５分程度	新聞記者からの被害状況の問い合わせ、市民からの避難情報収集方法の問い合わせ	３分程度	平常時より電話回数が多かった。	0	4	2	0	1	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。		2	情報不足だった。, 情報の信憑性が確かではなかった。, 個々の電話対応に必要以上の時間が掛かった。	4	主にコンピューター端末に入力した。（デジタル式）		主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	市の独自システム	重複、信頼性	3	どちらとも言えない。	システムの信頼性		
5/20/2019 2:04:42	福島県	N	磐梯町	地震	平成23年東北地方太平洋沖地震	２１〜３０％	5分	県との連絡調整	3分	平常時より電話回数は極めて少なかった。	1	2	4	0	4	2	2	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。	報道	1	デジタル回線が寸断された	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	3	どちらとも言えない。	現時点で判断できない	耐災害性	ＡＩによる情報の検索、抽出、職員への提供については、戸籍のような全国一律の定形業務で有効と考えていたが、災害時の電話対応で可能か未知数。 基礎データをどのように構築するのか、ビックデータを活用する方法はないのか、興味はあるが、情報が不足し、混乱を極め、回線さえも寸断される可能性のある初期の対応に活用できるのかは疑問。 避難、物資流通、避難所運営など、広域的な情報共有による中期対応には有効かもしれない。
5/20/2019 2:22:45	長崎県	N	五島市	台風	平成３０年台風７号	０〜１０％	５分程度	停電に対する苦情	１分程度	平常時より電話回数が多かった。	0	0	0	0	2	0	0	2	停電の問い合わせ（４）	電力会社のホームページ		3	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	3	どちらとも言えない。	効果が未知数。		
5/20/2019 2:33:02	愛知県	N	豊根村役場	台風	平成30年台風２４号	２１〜３０％	10分	マスコミからの被害状況の確認	3分～10分	平常時より電話回数が極めて多かった。	3	3	3	0	0	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 住民からの報告	住民からの報告	4	個々の電話対応に必要以上の時間が掛かった。	3	主に紙に書き留めた。（アナログ式）		主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	愛知県高度情報ネットワーク	特に大した問題はなかった。	3	どちらとも言えない。			
5/20/2019 2:36:25	宮城県	N	石巻市	台風	平成30年　台風13号	０〜１０％	1分	冠水情報	1分（1回のみ）	平常時より電話回数は少なかった。	0	0	2	0	0	0	0	0		回答を求める電話ではなかった		3	特に大した問題はなかった。	3	主に紙に書き留めた。（アナログ式）		情報担当に報告した		特に大した問題はなかった。	4	どちらとも言えない。	具体的な機能やコスト等の情報がなければ判断できないため	なまり、方言への対応（難しいとは思うが…）	災害対応は昨年一回のみ。また、その一回も電話を一度取った後は現場に出たため、当方の意見はあまり参考にならないと考えられる。
5/20/2019 2:46:00	鹿児島県	N	中種子町	豪雨	令和元年５月１８日　豪雨	０〜１０％	２分	マスコミからの被害調査	３０秒	平常時より電話回数が多かった。	0	0	2	0	0	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	特に大した問題はなかった。	3	主に紙に書き留めた。（アナログ式）		マスコミ対応だけなので共有していない		特に大した問題はなかった。	1	いいえ、導入したくない。			
5/20/2019 2:54:59	北海道	Y	幌加内町	地震	北海道胆振東部地震	２１〜３０％	５分	災害状況報告	2分	平常時より電話回数が多かった。	2	2	2	0	1	0	1	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		3	情報不足だった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。	システムの性能を把握していない		
5/20/2019 3:27:31	青森県	N	田舎館村	豪雨	平成25年台風18号による大雨被害	０〜１０％	5分	現場の消防団員との河川増水への対応についてのやりとり	3分	平常時より電話回数が極めて多かった。	0	4	4	0	2	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。		2	情報不足だった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル	対策本部のホワイトボードに記入		情報量が多すぎて混乱してしまった。	2	どちらとも言えない。	方言や訛りがあってもテキスト化されるか？		
5/20/2019 3:37:38	岡山県	N	備前市	豪雨	平成３０年７月豪雨	４１〜５０％	約１時間	住家付近のため池が決壊した場合の対応について	１５分	平常時より電話回数が極めて多かった。	0	2	2	0	1	0	0	0		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。	気象台からの情報	3	個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報量が多すぎて混乱してしまった。	2	どちらとも言えない。			
5/20/2019 3:54:07	石川県	N	かほく市	台風	台風２１号	３１〜４０％	15分程度		5分程度	平常時より電話回数が多かった。	0	3	3	0	2	0	0	3		ウェブ（例：内閣府のウェブページ）から情報を探した。		3	個々の電話対応に必要以上の時間が掛かった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル	主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	エクセル	他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/20/2019 4:06:30	北海道	N	根室市	高潮	平成26年12月根室高潮	２１〜３０％				平常時より電話回数が極めて多かった。	0	1	3	2	3	0	1	4		災害対策本部で共有していた情報	現地確認	3	マスコミからの電話本数が非常に多く、その対応に人員を取られた	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/20/2019 4:21:48	東京都		青ヶ島村	台風	記録なし	０〜１０％	数分	状況調査	数分	平常時より電話回数は極めて少なかった。	0	0	0	0	1	0	0	0		情報収集を目的として人員を現地に派遣した。		3	特に大した問題はなかった。	1	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	2	どちらとも言えない。	物を見ないと何とも言えない		
5/20/2019 4:22:21	三重県	N	木曽岬町	台風	平成30年台風21号	３１〜４０％	30分程度	停電による苦情	5分	平常時より電話回数が極めて多かった。	0	1	1	0	1	0	0	1		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	情報不足だった。, どこで必要な情報を取得できるか分からなかった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		ここでメモをしたまでに留まった		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。	災害時に電話での問い合わせを認識させるより、配信メールやＨＰで積極的に情報提供していく考えでいる		自動音声のマニュアルを作成されている場合は、提供いただきたい。果たして、それが住民が期待する回答なのか検証したい
5/20/2019 4:27:08	福島県	Y	福島市	台風	東日本大震災	２１〜３０％	２０分	避難所	５分	平常時より電話回数が極めて多かった。	3	3	4	1	4	2	3	2		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	情報不足だった。, どこで必要な情報を取得できるか分からなかった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	2	どちらとも言えない。			
5/20/2019 4:38:58	奈良県	N	大淀町	台風	平成30年台風21号	１１〜２０％	5分程度	避難所にペットを連れていけるかどうかという問い合わせ	3分程度	平常時より電話回数が多かった。	0	4	4	0	4	0	0	4		情報収集を目的として人員を現地に派遣した。		2	特に大した問題はなかった。	2	特に何もしていない		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	3	どちらとも言えない。			
5/20/2019 4:40:44	岡山県	Y	玉野市	豪雨	平成30年7月豪雨	７１〜８０％	１０分程度	災害状況のお知らせ	5分程度	平常時より電話回数が極めて多かった。	0	1	1	1	2	1	0	3		気象台による気象情報	気象台による気象情報	3	どこで必要な情報を取得できるか分からなかった。, 個々の電話対応に必要以上の時間が掛かった。	3	主にコンピューター端末に入力した。（デジタル式）	岡山県防災情報システム	アナログ式とデジタル式の両方	岡山県防災情報システム	情報量が多すぎて混乱してしまった。	3	どちらとも言えない。		被災個所（場所の特定）	
5/20/2019 4:42:17	北海道	Y	倶知安町	胆振東部地震による停電		０〜１０％	3分程度	住民に対する必要な情報伝達の充実及び携帯電話の充電サービスの実施	1分から2分程度	平常時より電話回数は少なかった。	1	1	1	0	1	0	0	0		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。	防災機関からの情報及び現地調査	3	特に大した問題はなかった。	2	主にコンピューター端末に入力した。（デジタル式）		印刷し供覧した。	エクセル	特に大した問題はなかった。	5	はい、積極的に導入したい。		自動認識システム自体をよく理解性ないのでほしい機能がわかりません。	
5/20/2019 4:44:17	静岡県	N	菊川市	台風	平成30年台風24号	３１〜４０％	20分	自宅の停電の復旧について。中部電力へ連絡が取れないというクレーム。	10分	平常時より電話回数が極めて多かった。	0	0	0	0	0	0	0	0	ライフライン（電気・水道）（４）	関係者（例：消防庁や避難所運営者）からの電話やメール。		3	情報不足だった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	4	はい、積極的に導入したい。		認識とともに文字に起こす、多言語対応可能である	
5/20/2019 4:48:57	京都府	Y	宮津市	豪雨	平成３０年７月豪雨	２１〜３０％	５分	当市への車でのアクセスについて	１～２分	平常時より電話回数が極めて多かった。	1	3	3	0	2	3	2	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。		4	対応職員の不足	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	3	どちらとも言えない。			
5/20/2019 4:53:14	宮城県	Y	川崎町	地震	平成23年東日本大震災	１１〜２０％	20分程度	燃料を分けて欲しい	5分程度	平常時より電話回数は極めて少なかった。	1	2	2	0	1	0	1	4		情報収集を目的として人員を現地に派遣した。, 消防団や行政区長からの連絡		2	情報不足だった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		停電、連絡手段すべてが不足し双方向での情報交換が困難であった	2	いいえ、導入したくない。			
5/20/2019 5:20:32	北海道	Y	興部町	停電（北海道胆振東部地震によるブラックアウト）	北海道胆振東部地震	０〜１０％	５分程度	停電原因、復旧時間	２	平常時より電話回数は少なかった。	0	3	1	0	0	0	0	0		ウェブ（例：内閣府のウェブページ）から情報を探した。, テレビ等の報道	テレビ等の報道	3	情報不足だった。, どこで必要な情報を取得できるか分からなかった。, 情報の信憑性が確かではなかった。	3	主に紙に書き留めた。（アナログ式）					4	どちらとも言えない。			
5/20/2019 5:22:09	福島県	Y	富岡町	地震	東日本大震災	０〜１０％	180	災害対応に関する苦情等	15	平常時より電話回数が極めて多かった。	4	2	2	1	3	1	1	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		1	情報不足だった。, 情報の信憑性が確かではなかった。, 個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 情報量が多すぎて混乱してしまった。	2	どちらとも言えない。			
5/20/2019 5:23:13	山梨県	N	山梨市	大雨注意報、雹被害		注意報のために本部なし　	２０分	被害についてどうにかしてほしい。	５分	平常時と電話回数はほぼ同じだった。	1	3	3	0	0	0	0	2		関係者（例：消防庁や避難所運営者）からの電話やメール。	気象庁甲府地方気象台	3	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。	3	どちらとも言えない。			
5/20/2019 6:53:05	新潟県	N	妙高市	土砂災害		０〜１０％	１５分	官公庁からの問い合わせ	５分	平常時より電話回数が極めて多かった。	2	3	3	0	0	0	0	2		情報収集を目的として人員を現地に派遣した。	現地調査	3	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	エクセルによる台帳	他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。	有用性が確認できていない状況では、導入は困難		
5/20/2019 7:10:09	茨城県	Y	古河市	豪雨	関東東北豪雨	６１〜７０％	４０分	市の今後の対応について	５分	平常時より電話回数が極めて多かった。	1	2	2	1	2	0	3	1		関係者（例：消防庁や避難所運営者）からの電話やメール。		2	電話で受けた情報を処理（対応）する方が大変だった	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	2	どちらとも言えない。	人命にかかわるかもしれない情報（緊急情報）が入るケースも考えられるし、災害時は電話相手も混乱していることも考えられる。そのような問い合わせにも耐えられるかがわからない。		
5/20/2019 7:15:32	北海道	Y	赤平市	地震	北海道胆振東部地震	１１〜２０％	5分程度	停電について	2～3分	平常時より電話回数は少なかった。	1	1	1	1	1	0	1	1		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	情報不足だった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		停電により連絡通信手段がない時間帯の情報収集	3	どちらとも言えない。	規模的に必要と感じない。また、大規模停電時には使えないのでは？		大規模停電時は電話の回線数や通信手段が限られ情報の入手が遅れる傾向にある。また、固定電話が光回線になっていると停電時使用できないため、問い合わせの電話の件数が少ないと思われる。
5/20/2019 7:34:12	北海道	N	木古内町	台風	平成２８年台風１０号	６１〜７０％	２０分	暴風による自宅の応急処置要請	３分	平常時より電話回数が極めて多かった。	0	3	3	3	2	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		住民からの問い合わせ、要請が主であり特に共有はしなかった		特に大した問題はなかった。	2	どちらとも言えない。	経費がかかるため		
5/20/2019 8:02:55	神奈川県	N	平塚市	台風	平成３０年　台風１２号		２０分	避難情報について	５分	平常時より電話回数が多かった。	1	2	2	1	3	1	1	1		関係者（例：消防庁や避難所運営者）からの電話やメール。		4	個々の電話対応に必要以上の時間が掛かった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	4	どちらとも言えない。			
5/20/2019 9:28:55	愛媛県	Y	宇和島市	豪雨	平成30年7月豪雨	３１〜４０％	40分程度	被災状況、避難場所等、これまでの市の防災対策と反省点など	10分程度	平常時より電話回数が極めて多かった。	4	4	4	4	4	3	4	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。	職員、消防団等からの現地情報（LINEを活用）	3	情報不足だった。, 情報の信憑性が確かではなかった。, 個々の電話対応に必要以上の時間が掛かった。	5	主にコンピューター端末に入力した。（デジタル式）	県災害情報システム	主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	県災害情報システム	他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	4	どちらとも言えない。	（費用）経費、（効果）使用頻度	回答の精度、担当課の選択	
5/20/2019 11:37:20	岐阜県	N	可児郡御嵩町	台風	平成３０年７月台風１２号	３１〜４０％	１０分	被害状況	５分	平常時より電話回数が多かった。	1	4	3	2	4	2	2	4		情報収集を目的として人員を現地に派遣した。	住民からの情報	3	個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	5	いいえ、導入したくない。	類似の設備を導入しているため	多言語化	
5/20/2019 11:55:36	秋田県	N	五城目町	豪雨	平成３０年５月豪雨	２１〜３０％	15分	情報伝達に係る苦情	3分	平常時より電話回数が多かった。	0	1	3	3	1	1	1	4		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	情報不足だった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	2	どちらとも言えない。			
5/20/2019 12:55:18	香川県	N	直島町	豪雨	平成30年7月豪雨	１１〜２０％	3分	土砂崩れの発生	1分	平常時より電話回数が多かった。	1	3	4	1	0	0	0	3		情報収集を目的として人員を現地に派遣した。		3	個々の電話対応に必要以上の時間が掛かった。	4	両方	Lアラート	主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	3	どちらとも言えない。			
5/20/2019 14:22:24	神奈川県	N	秦野市	台風	平成30年台風第24号	６１〜７０％	10分	土のう要望	5分	平常時より電話回数が多かった。	0	1	2	3	3	0	0	1		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。		4	情報の信憑性が確かではなかった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。	市民の状況が不明確	なし	
5/21/2019 0:20:27	秋田県	N	三種町	豪雨	毎年のように起こる水害（河川の増水）	３１〜４０％	５分	避難勧告等のタイミングや避難所の開設状況	２分	平常時より電話回数が多かった。	0	3	3	0	2	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。	消防署や警察、消防団等の関係機関	3	個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報量が多すぎて混乱してしまった。	1	どちらとも言えない。			
5/21/2019 0:29:47	和歌山県	N	美浜町	台風	平成30年9月台風21号	４１〜５０％	30分	停電に対する対応（復旧時期、作業の進捗状況など）（電力会社に電話がつながらないため、自治体への問い合わせ）		平常時より電話回数が極めて多かった。	0	2	2	0	2	0	0	4		ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。	特になし（長期停電ではデジタルは弱い）	3		5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	2	どちらとも言えない。			
